# step param_0 param_1 param_2 param_3 param_4 param_5 param_6 param_7 param_8 param_9 param_10 param_11 param_12 param_13 param_14 param_15 param_16 param_17 param_18 param_19 param_20 param_21 param_22 param_23 param_24 param_25 loglike
33 1.558520e-01 2.296345e-02 6.948570e-01 1.173121e-01 9.972059e-01 2.851621e+00 -2.312306e-03 -1.229717e+00 -3.193133e-02 1.008431e+00 3.004093e+00 -4.630894e-04 2.125987e+02 5.160556e+01 1.215331e+02 9.465151e+00 4.277002e+01 1.033922e+01 4.959954e-01 5.013675e-01 5.040152e-01 1.001052e+00 1.005822e+00 5.123249e-01 4.655618e+00 -1.075282e-01 -7.373789e+03
34 1.554813e-01 2.295002e-02 6.922634e-01 1.183432e-01 9.979058e-01 2.851256e+00 -2.590556e-03 -1.228539e+00 -3.755037e-02 1.008079e+00 3.003874e+00 -3.600474e-04 2.096815e+02 5.370254e+01 1.216005e+02 9.596076e+00 4.282627e+01 1.067121e+01 4.998689e-01 5.030201e-01 5.016009e-01 1.000883e+00 1.006184e+00 4.965604e-01 4.618232e+00 -1.485527e-01 -7.277794e+03
35 1.554813e-01 2.295002e-02 6.922634e-01 1.183432e-01 9.979058e-01 2.851256e+00 -2.590556e-03 -1.228539e+00 -3.755037e-02 1.008079e+00 3.003874e+00 -3.600474e-04 2.096815e+02 5.370254e+01 1.216005e+02 9.596076e+00 4.282627e+01 1.067121e+01 4.998689e-01 5.030201e-01 5.016009e-01 1.000883e+00 1.006184e+00 4.965604e-01 4.618232e+00 -1.485527e-01 -7.277794e+03
36 1.549413e-01 2.302329e-02 6.922223e-01 1.190220e-01 9.990776e-01 2.852452e+00 -2.691601e-03 -1.226993e+00 -3.561316e-02 1.012374e+00 3.008265e+00 4.099833e-05 2.078615e+02 5.336794e+01 1.219424e+02 9.444852e+00 4.355424e+01 1.050692e+01 5.045574e-01 5.087164e-01 4.894084e-01 1.001331e+00 1.006267e+00 4.975267e-01 4.692537e+00 -1.203857e-01 -7.206752e+03
37 1.549413e-01 2.302329e-02 6.922223e-01 1.190220e-01 9.990776e-01 2.852452e+00 -2.691601e-03 -1.226993e+00 -3.561316e-02 1.012374e+00 3.008265e+00 4.099833e-05 2.078615e+02 5.336794e+01 1.219424e+02 9.444852e+00 4.355424e+01 1.050692e+01 5.045574e-01 5.087164e-01 4.894084e-01 1.001331e+00 1.006267e+00 4.975267e-01 4.692537e+00 -1.203857e-01 -7.206752e+03
38 1.549413e-01 2.302329e-02 6.922223e-01 1.190220e-01 9.990776e-01 2.852452e+00 -2.691601e-03 -1.226993e+00 -3.561316e-02 1.012374e+00 3.008265e+00 4.099833e-05 2.078615e+02 5.336794e+01 1.219424e+02 9.444852e+00 4.355424e+01 1.050692e+01 5.045574e-01 5.087164e-01 4.894084e-01 1.001331e+00 1.006267e+00 4.975267e-01 4.692537e+00 -1.203857e-01 -7.206752e+03
39 1.547388e-01 2.307120e-02 6.916888e-01 1.209095e-01 1.000296e+00 2.853278e+00 -2.832864e-03 -1.227170e+00 -3.579425e-02 1.010462e+00 3.012012e+00 6.433509e-04 2.062278e+02 5.370291e+01 1.230924e+02 9.226545e+00 4.416557e+01 1.059398e+01 5.048476e-01 5.096277e-01 4.943078e-01 1.001967e+00 1.005365e+00 4.909135e-01 4.634495e+00 -1.910480e-01 -7.173720e+03
40 1.543527e-01 2.309426e-02 6.918337e-01 1.191121e-01 1.000329e+00 2.853440e+00 -2.980617e-03 -1.225110e+00 -2.817486e-02 1.008436e+00 3.014708e+00 1.283735e-04 2.070095e+02 5.379077e+01 1.208522e+02 9.304436e+00 4.352859e+01 1.071196e+01 5.070103e-01 5.134394e-01 4.932621e-01 1.002335e+00 1.004907e+00 4.890556e-01 4.707432e+00 -1.753531e-01 -7.069209e+03
41 1.543527e-01 2.309426e-02 6.918337e-01 1.191121e-01 1.000329e+00 2.853440e+00 -2.980617e-03 -1.225110e+00 -2.817486e-02 1.008436e+00 3.014708e+00 1.283735e-04 2.070095e+02 5.379077e+01 1.208522e+02 9.304436e+00 4.352859e+01 1.071196e+01 5.070103e-01 5.134394e-01 4.932621e-01 1.002335e+00 1.004907e+00 4.890556e-01 4.707432e+00 -1.753531e-01 -7.069209e+03
42 1.540710e-01 2.309734e-02 6.915558e-01 1.228503e-01 9.998206e-01 2.851240e+00 -2.612403e-03 -1.216972e+00 -1.820250e-02 1.003650e+00 3.011837e+00 2.307907e-04 2.074016e+02 5.432379e+01 1.207379e+02 9.204080e+00 4.340730e+01 1.050314e+01 5.077562e-01 5.117967e-01 4.919652e-01 1.001999e+00 1.003892e+00 4.745642e-01 4.579882e+00 -2.072990e-01 -7.050422e+03
43 1.548280e-01 2.307132e-02 6.906540e-01 1.242124e-01 9.992759e-01 2.852807e+00 -2.890341e-03 -1.216920e+00 -1.563705e-02 1.005903e+00 3.012219e+00 -3.528840e-04 2.069284e+02 5.470128e+01 1.223418e+02 9.271320e+00 4.254736e+01 1.014831e+01 5.045645e-01 5.171184e-01 4.888007e-01 1.001588e+00 1.003756e+00 4.620451e-01 4.690498e+00 -1.870634e-01 -7.014928e+03
44 1.548280e-01 2.307132e-02 6.906540e-01 1.242124e-01 9.992759e-01 2.852807e+00 -2.890341e-03 -1.216920e+00 -1.563705e-02 1.005903e+00 3.012219e+00 -3.528840e-04 2.069284e+02 5.470128e+01 1.223418e+02 9.271320e+00 4.254736e+01 1.014831e+01 5.045645e-01 5.171184e-01 4.888007e-01 1.001588e+00 1.003756e+00 4.620451e-01 4.690498e+00 -1.870634e-01 -7.014928e+03
45 1.548280e-01 2.307132e-02 6.906540e-01 1.242124e-01 9.992759e-01 2.852807e+00 -2.890341e-03 -1.216920e+00 -1.563705e-02 1.005903e+00 3.012219e+00 -3.528840e-04 2.069284e+02 5.470128e+01 1.223418e+02 9.271320e+00 4.254736e+01 1.014831e+01 5.045645e-01 5.171184e-01 4.888007e-01 1.001588e+00 1.003756e+00 4.620451e-01 4.690498e+00 -1.870634e-01 -7.014928e+03
46 1.541973e-01 2.306396e-02 6.904641e-01 1.245495e-01 9.991341e-01 2.852202e+00 -3.249450e-03 -1.214256e+00 -1.446828e-02 1.001104e+00 3.012218e+00 4.361812e-04 2.060026e+02 5.466528e+01 1.248706e+02 8.947365e+00 4.065534e+01 1.023489e+01 4.997104e-01 5.172877e-01 5.017871e-01 1.001049e+00 1.003341e+00 4.697920e-01 4.646303e+00 -2.006835e-01 -6.874987e+03
47 1.542345e-01 2.304765e-02 6.904930e-01 1.238561e-01 9.992647e-01 2.854589e+00 -2.467677e-03 -1.213639e+00 -2.990671e-02 1.002699e+00 3.011056e+00 9.559507e-04 2.072005e+02 5.534940e+01 1.281596e+02 8.896126e+00 3.967008e+01 9.808233e+00 4.946469e-01 5.120872e-01 5.057710e-01 1.001083e+00 1.003505e+00 4.767465e-01 4.551743e+00 -1.251250e-01 -6.809900e+03
48 1.539320e-01 2.309572e-02 6.914107e-01 1.252503e-01 9.987267e-01 2.856246e+00 -1.828176e-03 -1.212732e+00 -2.115205e-02 1.003567e+00 3.007174e+00 1.262846e-03 2.058223e+02 5.498142e+01 1.270163e+02 8.659630e+00 3.864987e+01 9.883373e+00 4.926188e-01 5.052197e-01 5.070627e-01 1.001833e+00 1.004405e+00 4.866446e-01 4.306560e+00 -3.329375e-02 -6.754861e+03
49 1.539320e-01 2.309572e-02 6.914107e-01 1.252503e-01 9.987267e-01 2.856246e+00 -1.828176e-03 -1.212732e+00 -2.115205e-02 1.003567e+00 3.007174e+00 1.262846e-03 2.058223e+02 5.498142e+01 1.270163e+02 8.659630e+00 3.864987e+01 9.883373e+00 4.926188e-01 5.052197e-01 5.070627e-01 1.001833e+00 1.004405e+00 4.866446e-01 4.306560e+00 -3.329375e-02 -6.754861e+03
50 1.539320e-01 2.309572e-02 6.914107e-01 1.252503e-01 9.987267e-01 2.856246e+00 -1.828176e-03 -1.212732e+00 -2.115205e-02 1.003567e+00 3.007174e+00 1.262846e-03 2.058223e+02 5.498142e+01 1.270163e+02 8.659630e+00 3.864987e+01 9.883373e+00 4.926188e-01 5.052197e-01 5.070627e-01 1.001833e+00 1.004405e+00 4.866446e-01 4.306560e+00 -3.329375e-02 -6.754861e+03
51 1.539320e-01 2.309572e-02 6.914107e-01 1.252503e-01 9.987267e-01 2.856246e+00 -1.828176e-03 -1.212732e+00 -2.115205e-02 1.003567e+00 3.007174e+00 1.262846e-03 2.058223e+02 5.498142e+01 1.270163e+02 8.659630e+00 3.864987e+01 9.883373e+00 4.926188e-01 5.052197e-01 5.070627e-01 1.001833e+00 1.004405e+00 4.866446e-01 4.306560e+00 -3.329375e-02 -6.754861e+03
52 1.537843e-01 2.315314e-02 6.911660e-01 1.246956e-01 9.992291e-01 2.857342e+00 -1.191544e-03 -1.215387e+00 -2.721293e-02 9.993900e-01 3.002659e+00 1.038264e-03 2.048817e+02 5.484761e+01 1.262917e+02 8.641055e+00 3.863210e+01 9.634508e+00 4.929039e-01 5.035569e-01 5.240754e-01 1.001946e+00 1.006221e+00 4.923086e-01 4.349900e+00 -7.708762e-02 -6.673598e+03
53 1.537843e-01 2.315314e-02 6.911660e-01 1.246956e-01 9.992291e-01 2.857342e+00 -1.191544e-03 -1.215387e+00 -2.721293e-02 9.993900e-01 3.002659e+00 1.038264e-03 2.048817e+02 5.484761e+01 1.262917e+02 8.641055e+00 3.863210e+01 9.634508e+00 4.929039e-01 5.035569e-01 5.240754e-01 1.001946e+00 1.006221e+00 4.923086e-01 4.349900e+00 -7.708762e-02 -6.673598e+03
54 1.538778e-01 2.315331e-02 6.899578e-01 1.220116e-01 1.001231e+00 2.856284e+00 -1.115358e-03 -1.218489e+00 -3.297214e-02 1.004039e+00 3.008985e+00 3.986807e-04 2.096748e+02 5.507989e+01 1.266698e+02 8.519323e+00 3.773668e+01 9.578887e+00 4.837827e-01 5.032510e-01 5.227672e-01 1.002399e+00 1.004920e+00 4.854003e-01 4.330969e+00 -2.888873e-02 -6.651774e+03
55 1.542082e-01 2.316445e-02 6.880861e-01 1.212625e-01 1.000730e+00 2.854463e+00 -4.533807e-04 -1.224303e+00 -1.943097e-02 1.000030e+00 3.010703e+00 1.182287e-03 2.069236e+02 5.552421e+01 1.218450e+02 8.667496e+00 3.639094e+01 9.573075e+00 4.835299e-01 4.993035e-01 5.225490e-01 1.002334e+00 1.004400e+00 4.916851e-01 4.551543e+00 -3.735072e-02 -6.609933e+03
